"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Jun-2024","EQ","7,260.00","7,357.95","7,077.10","7,230.55","7,133.80","7,120.60","7,209.26","9,200.00","6,411.20","1,73,733","1,25,24,86,620.40","27,064"
"20-Jun-2024","EQ","7,244.05","7,269.85","7,192.10","7,244.80","7,220.50","7,230.55","7,222.52","9,200.00","6,411.20","68,329","49,35,07,596.70","11,058"
"19-Jun-2024","EQ","7,290.00","7,316.65","7,202.80","7,289.70","7,248.00","7,244.80","7,243.04","9,200.00","6,411.20","58,610","42,45,14,753.15","10,121"
"18-Jun-2024","EQ","7,327.25","7,362.50","7,275.00","7,268.00","7,290.00","7,289.70","7,303.69","9,200.00","6,411.20","94,020","68,66,93,001.25","17,264"
"14-Jun-2024","EQ","7,260.00","7,375.00","7,201.90","7,231.05","7,270.00","7,268.00","7,284.02","9,200.00","6,411.20","1,68,944","1,23,05,92,015.00","23,089"
"13-Jun-2024","EQ","7,151.00","7,291.05","7,140.00","7,120.25","7,235.00","7,231.05","7,231.53","9,200.00","6,411.20","1,62,140","1,17,25,20,941.65","20,893"
"12-Jun-2024","EQ","7,099.20","7,158.30","7,092.00","7,087.65","7,143.00","7,120.25","7,126.02","9,200.00","6,411.20","68,176","48,58,23,214.55","11,814"
"11-Jun-2024","EQ","7,159.90","7,165.00","7,080.00","7,140.15","7,090.00","7,087.65","7,112.32","9,200.00","6,411.20","77,665","55,23,78,520.85","13,830"
"10-Jun-2024","EQ","7,189.00","7,190.00","7,090.00","7,120.00","7,144.40","7,140.15","7,131.20","9,200.00","6,411.20","75,286","53,68,79,734.05","12,884"
"07-Jun-2024","EQ","6,960.00","7,165.00","6,960.00","6,932.20","7,115.00","7,120.00","7,093.70","9,200.00","6,411.20","2,31,746","1,64,39,36,648.95","38,307"
"06-Jun-2024","EQ","6,983.30","7,018.50","6,900.00","6,878.90","6,930.00","6,932.20","6,939.69","9,200.00","6,411.20","1,38,019","95,78,08,435.70","26,956"
"05-Jun-2024","EQ","6,850.00","6,943.55","6,652.55","6,726.20","6,898.95","6,878.90","6,867.34","9,200.00","6,411.20","1,16,845","80,24,13,885.20","27,519"
"04-Jun-2024","EQ","6,975.00","6,975.00","6,411.20","6,947.60","6,752.00","6,726.20","6,758.74","9,200.00","6,411.20","2,98,357","2,01,65,18,309.55","65,787"
"03-Jun-2024","EQ","7,148.00","7,148.00","6,926.45","6,944.35","6,954.00","6,947.60","6,977.62","9,200.00","6,903.00","1,89,575","1,32,27,83,126.10","38,986"
"31-May-2024","EQ","7,240.00","7,244.00","6,903.00","7,194.85","6,925.50","6,944.35","6,984.45","9,200.00","6,903.00","5,06,546","3,53,79,43,602.15","58,808"
"30-May-2024","EQ","7,326.70","7,343.25","7,165.85","7,290.20","7,210.55","7,194.85","7,204.31","9,200.00","6,992.05","1,89,987","1,36,87,26,051.55","22,299"
"29-May-2024","EQ","7,310.50","7,313.00","7,252.35","7,319.90","7,289.95","7,290.20","7,279.93","9,200.00","6,992.05","67,954","49,47,00,447.30","21,254"
"28-May-2024","EQ","7,360.00","7,385.00","7,303.35","7,316.80","7,309.65","7,319.90","7,333.02","9,200.00","6,992.05","64,306","47,15,56,993.95","16,977"
"27-May-2024","EQ","7,374.95","7,459.90","7,305.00","7,374.95","7,321.90","7,316.80","7,348.31","9,200.00","6,992.05","83,671","61,48,40,548.70","22,983"
"24-May-2024","EQ","7,416.60","7,423.90","7,326.05","7,416.60","7,360.50","7,374.95","7,370.58","9,200.00","6,902.20","86,161","63,50,56,966.80","23,611"
"23-May-2024","EQ","7,268.95","7,559.00","7,240.15","7,211.60","7,412.00","7,416.60","7,479.20","9,200.00","6,902.20","2,80,742","2,09,97,25,097.95","44,432"
"22-May-2024","EQ","7,232.05","7,303.60","7,171.50","7,238.90","7,218.95","7,211.60","7,215.27","9,200.00","6,902.20","1,12,856","81,42,86,136.85","23,276"
"21-May-2024","EQ","7,350.00","7,350.00","7,220.00","7,314.95","7,225.00","7,238.90","7,254.80","9,200.00","6,902.20","62,475","45,32,43,786.40","14,356"
"18-May-2024","EQ","7,375.00","7,398.80","7,305.00","7,359.00","7,316.80","7,314.95","7,329.69","9,200.00","6,715.00","10,409","7,62,94,716.25","3,508"
"17-May-2024","EQ","7,300.00","7,369.70","7,270.00","7,299.60","7,353.80","7,359.00","7,332.33","9,200.00","6,715.00","82,866","60,76,00,675.15","15,596"
